meter	date	measure
Meter 1	Jan 2000	1394.46
Meter 1	Feb 2000	1366.42
Meter 1	Mar 2000	1498.58
Meter 1	Apr 2000	1452.43
Meter 1	May 2000	1420.6
Meter 1	Jun 2000	1454.6
Meter 1	Jul 2000	1430.83
Meter 1	Aug 2000	1517.68
Meter 1	Sep 2000	1436.51
Meter 1	Oct 2000	1429.4
Meter 1	Nov 2000	1314.95
Meter 1	Dec 2000	1320.28
Meter 1	Jan 2001	1366.01
Meter 1	Feb 2001	1239.94
Meter 1	Mar 2001	1160.33
Meter 1	Apr 2001	1249.46
Meter 1	May 2001	1255.82
Meter 1	Jun 2001	1224.38
Meter 1	Jul 2001	1211.23
Meter 1	Aug 2001	1133.58
Meter 1	Sep 2001	1040.94
Meter 1	Oct 2001	1059.78
Meter 1	Nov 2001	1139.45
Meter 1	Dec 2001	1148.08
Meter 1	Jan 2002	1130.2
Meter 1	Feb 2002	1106.73
Meter 1	Mar 2002	1147.39
Meter 1	Apr 2002	1076.92
Meter 1	May 2002	1067.14
Meter 1	Jun 2002	989.82
Meter 1	Jul 2002	911.62
Meter 1	Aug 2002	916.07
Meter 1	Sep 2002	815.28
Meter 1	Oct 2002	885.76
Meter 1	Nov 2002	936.31
Meter 1	Dec 2002	879.82
Meter 1	Jan 2003	855.7
Meter 1	Feb 2003	841.15
Meter 1	Mar 2003	848.18
Meter 1	Apr 2003	916.92
Meter 1	May 2003	963.59
Meter 1	Jun 2003	974.5
Meter 1	Jul 2003	990.31
Meter 1	Aug 2003	1008.01
Meter 1	Sep 2003	995.97
Meter 1	Oct 2003	1050.71
Meter 1	Nov 2003	1058.2
Meter 1	Dec 2003	1111.92
Meter 1	Jan 2004	1131.13
Meter 1	Feb 2004	1144.94
Meter 1	Mar 2004	1126.21
Meter 1	Apr 2004	1107.3
Meter 1	May 2004	1120.68
Meter 1	Jun 2004	1140.84
Meter 1	Jul 2004	1101.72
Meter 1	Aug 2004	1104.24
Meter 1	Sep 2004	1114.58
Meter 1	Oct 2004	1130.2
Meter 1	Nov 2004	1173.82
Meter 1	Dec 2004	1211.92
Meter 1	Jan 2005	1181.27
Meter 1	Feb 2005	1203.6
Meter 1	Mar 2005	1180.59
Meter 1	Apr 2005	1156.85
Meter 1	May 2005	1191.5
Meter 1	Jun 2005	1191.33
Meter 1	Jul 2005	1234.18
Meter 1	Aug 2005	1220.33
Meter 1	Sep 2005	1228.81
Meter 1	Oct 2005	1207.01
Meter 1	Nov 2005	1249.48
Meter 1	Dec 2005	1248.29
Meter 1	Jan 2006	1280.08
Meter 1	Feb 2006	1280.66
Meter 1	Mar 2006	1294.87
Meter 1	Apr 2006	1310.61
Meter 1	May 2006	1270.09
Meter 1	Jun 2006	1270.2
Meter 1	Jul 2006	1276.66
Meter 1	Aug 2006	1303.82
Meter 1	Sep 2006	1335.85
Meter 1	Oct 2006	1377.94
Meter 1	Nov 2006	1400.63
Meter 1	Dec 2006	1418.3
Meter 1	Jan 2007	1438.24
Meter 1	Feb 2007	1406.82
Meter 1	Mar 2007	1420.86
Meter 1	Apr 2007	1482.37
Meter 1	May 2007	1530.62
Meter 1	Jun 2007	1503.35
Meter 1	Jul 2007	1455.27
Meter 1	Aug 2007	1473.99
Meter 1	Sep 2007	1526.75
Meter 1	Oct 2007	1549.38
Meter 1	Nov 2007	1481.14
Meter 1	Dec 2007	1468.36
Meter 1	Jan 2008	1378.55
Meter 1	Feb 2008	1330.63
Meter 1	Mar 2008	1322.7
Meter 1	Apr 2008	1385.59
Meter 1	May 2008	1400.38
Meter 1	Jun 2008	1280
Meter 1	Jul 2008	1267.38
Meter 1	Aug 2008	1282.83
Meter 1	Sep 2008	1166.36
Meter 1	Oct 2008	968.75
Meter 1	Nov 2008	896.24
Meter 1	Dec 2008	903.25
Meter 1	Jan 2009	825.88
Meter 1	Feb 2009	735.09
Meter 1	Mar 2009	797.87
Meter 1	Apr 2009	872.81
Meter 1	May 2009	919.14
Meter 1	Jun 2009	919.32
Meter 1	Jul 2009	987.48
Meter 1	Aug 2009	1020.62
Meter 1	Sep 2009	1057.08
Meter 1	Oct 2009	1036.19
Meter 1	Nov 2009	1095.63
Meter 1	Dec 2009	1115.1
Meter 1	Jan 2010	1073.87
Meter 1	Feb 2010	1104.49
Meter 1	Mar 2010	1140.45
Meter 2	Jan 2000	39.81
Meter 2	Feb 2000	36.35
Meter 2	Mar 2000	43.22
Meter 2	Apr 2000	28.37
Meter 2	May 2000	25.45
Meter 2	Jun 2000	32.54
Meter 2	Jul 2000	28.4
Meter 2	Aug 2000	28.4
Meter 2	Sep 2000	24.53
Meter 2	Oct 2000	28.02
Meter 2	Nov 2000	23.34
Meter 2	Dec 2000	17.65
Meter 2	Jan 2001	24.84
Meter 2	Feb 2001	24
Meter 2	Mar 2001	22.25
Meter 2	Apr 2001	27.56
Meter 2	May 2001	28.14
Meter 2	Jun 2001	29.7
Meter 2	Jul 2001	26.93
Meter 2	Aug 2001	23.21
Meter 2	Sep 2001	20.82
Meter 2	Oct 2001	23.65
Meter 2	Nov 2001	26.12
Meter 2	Dec 2001	26.95
Meter 2	Jan 2002	25.92
Meter 2	Feb 2002	23.73
Meter 2	Mar 2002	24.53
Meter 2	Apr 2002	21.26
Meter 2	May 2002	20.71
Meter 2	Jun 2002	22.25
Meter 2	Jul 2002	19.52
Meter 2	Aug 2002	19.97
Meter 2	Sep 2002	17.79
Meter 2	Oct 2002	21.75
Meter 2	Nov 2002	23.46
Meter 2	Dec 2002	21.03
Meter 2	Jan 2003	19.31
Meter 2	Feb 2003	19.34
Meter 2	Mar 2003	19.76
Meter 2	Apr 2003	20.87
Meter 2	May 2003	20.09
Meter 2	Jun 2003	20.93
Meter 2	Jul 2003	21.56
Meter 2	Aug 2003	21.65
Meter 2	Sep 2003	22.69
Meter 2	Oct 2003	21.45
Meter 2	Nov 2003	21.1
Meter 2	Dec 2003	22.46
Meter 2	Jan 2004	22.69
Meter 2	Feb 2004	21.77
Meter 2	Mar 2004	20.46
Meter 2	Apr 2004	21.45
Meter 2	May 2004	21.53
Meter 2	Jun 2004	23.44
Meter 2	Jul 2004	23.38
Meter 2	Aug 2004	22.47
Meter 2	Sep 2004	22.76
Meter 2	Oct 2004	23.02
Meter 2	Nov 2004	24.6
Meter 2	Dec 2004	24.52
Meter 2	Jan 2005	24.11
Meter 2	Feb 2005	23.15
Meter 2	Mar 2005	22.24
Meter 2	Apr 2005	23.28
Meter 2	May 2005	23.82
Meter 2	Jun 2005	22.93
Meter 2	Jul 2005	23.64
Meter 2	Aug 2005	25.35
Meter 2	Sep 2005	23.83
Meter 2	Oct 2005	23.8
Meter 2	Nov 2005	25.71
Meter 2	Dec 2005	24.29
Meter 2	Jan 2006	26.14
Meter 2	Feb 2006	25.04
Meter 2	Mar 2006	25.36
Meter 2	Apr 2006	22.5
Meter 2	May 2006	21.19
Meter 2	Jun 2006	21.8
Meter 2	Jul 2006	22.51
Meter 2	Aug 2006	24.13
Meter 2	Sep 2006	25.68
Meter 2	Oct 2006	26.96
Meter 2	Nov 2006	27.66
Meter 2	Dec 2006	28.13
Meter 2	Jan 2007	29.07
